URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/bfarm/ops,null,active,,OPS,OPS,"OPS Platzhalter-CodeSystem","ValueSet/ops-vs"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status,ValueSet/clinicalimpression-status"
http://human-phenotype-ontology.org,1.0.0,active,"2.16.840.1.113883.6.339",HPO,Human Phenotype Ontology,"""The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities encountered in human disease. Each term in the HPO describes a phenotypic abnormality, such as Atrial septal defect. The HPO is currently being developed using the medical literature, Orphanet, DECIPHER, and OMIM. HPO currently contains over 13,000 terms and over 156,000 annotations to hereditary diseases. The HPO project and others have developed software for phenotype-driven differential diagnostics, genomic diagnostics, and translational research. The HPO is a flagship product of the Monarch Initiative, an NIH-supported international consortium dedicated to semantic integration of biomedical and model organism data with the ultimate goal of improving biomedical research. The HPO, as a part of the Monarch Initiative, is a central component of one of the 13 driver projects in the Global Alliance for Genomics and Health (GA4GH) strategic roadmap.""    Please see https://hpo.jax.org/app/download/ontology.    Releases, produced approximately every 2 months, can be found [here](https://github.com/obophenotype/human-phenotype-ontology/releases).","ValueSet/mii-vs-seltene-penetrance,ValueSet/mii-vs-seltene-hpo-inheritance-pattern,ValueSet/mii-vs-seltene-hpo-age-of-onset,ValueSet/mii-vs-seltene-hpo-severity,ValueSet/mii-vs-seltene-hpo-phenotypic-observation-codes"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/mii-vs-seltene-blutgruppe,ValueSet/mii-vs-seltene-nbs-ratio-dbs,ValueSet/mii-vs-seltene-nbs-aminoacid-dbs,ValueSet/mii-vs-seltene-nbs-acylcarnitine-dbs,ValueSet/observation-codes,ValueSet/mii-vs-seltene-nbs-hemoglobin-dbs,ValueSet/mii-vs-seltene-hpo-presence-status,ValueSet/mii-vs-seltene-nbs-target-analyte,ValueSet/mii-vs-seltene-nbs-enzyme-activity-dbs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/investigation-sets,ValueSet/clinical-findings,ValueSet/condition-stage,ValueSet/additional-instruction-codes,ValueSet/participant-role,ValueSet/mii-vs-diagnose-bodystructure-snomed,ValueSet/clinicalimpression-prognosis,ValueSet/lebensphase-de,ValueSet/target-site-uv-ips,ValueSet/approach-site-codes,ValueSet/procedure-followup,ValueSet/device-action,ValueSet/mii-vs-seltene-syndrome-category,ValueSet/medication-codes,ValueSet/body-site,ValueSet/mii-vs-diagnose-diagnosecodes-snomed,ValueSet/manifestation-or-symptom,ValueSet/procedure-code,ValueSet/medication-as-needed-reason,ValueSet/mii-vs-seltene-consanguinity,ValueSet/device-kind,ValueSet/performer-role,ValueSet/mii-vs-seltene-genetic-basis,ValueSet/referencerange-appliesto,ValueSet/route-codes,ValueSet/mii-vs-seltene-symptom-change-status-combined,ValueSet/care-plan-activity-outcome,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/mii-vs-seltene-blutgruppe,ValueSet/condition-code,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/care-plan-category,ValueSet/observation-methods,ValueSet/mii-vs-molgen-family-member-snomed,ValueSet/condition-outcome,ValueSet/servicerequest-orderdetail,ValueSet/administration-method-codes,ValueSet/von-seltene-betroffen-vs,ValueSet/mii-vs-seltene-clinical-diagnosis-category,ValueSet/VitalSignDE-Kopfumfang-SNOMED-CT,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/v2-0532,3.0.0,active,"2.16.840.1.113883.18.347",ExpandedYesNoIndicator,expandedYes-NoIndicator,"HL7-defined code system of concepts used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".  Used in numerous locations in HL7 Version 2.x messaging.","ValueSet/von-seltene-betroffen-vs"
http://unitsofmeasure.org,3.0.1,active,,UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/DosageDoseQuantityDE,ValueSet/age-units,ValueSet/UcumVitalsCommonDE,ValueSet/units-of-time,ValueSet/VitalSignDE-Body-Length-UCUM"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/CodeSystem/mii-cs-seltene-empfehlung-status-begruendung,2027.0.0-ballot,active,,MII_CS_Seltene_Empfehlung_StatusBegruendung,MII CS SE Empfehlung Status Begründung,"Begründung bei fehlender Empfehlung","ValueSet/mii-vs-seltene-empfehlung-status-begruendung"
